frame,NOSE,LEFT_EYE,RIGHT_EYE,LEFT_EAR,RIGHT_EAR,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_GROIN,RIGHT_GROIN,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_BIG_TOE,LEFT_LITTLE_TOE,LEFT_HEEL,RIGHT_BIG_TOE,RIGHT_LITTLE_TOE,RIGHT_HEEL
1.0,0.927578866481781,0.9521830081939697,0.9294518232345581,0.8737743496894836,0.9134323596954346,0.8740198612213135,0.845086395740509,0.8108077645301819,0.8122200965881348,0.8173023462295532,0.8203440308570862,0.7462215423583984,0.7524992227554321,0.8497835397720337,0.8264356851577759,0.8621174097061157,0.8492497801780701,0.7373039722442627,0.8264819383621216,0.769940197467804,0.7918297052383423,0.7837200164794922,0.7428762316703796
2.0,0.9271165728569031,0.9534952640533447,0.9285836219787598,0.8719960451126099,0.9135468006134033,0.8721551895141602,0.8450945615768433,0.8098784685134888,0.817057728767395,0.8197873830795288,0.8205267786979675,0.746924877166748,0.752478837966919,0.8613286018371582,0.8183995485305786,0.8602975606918335,0.8502953052520752,0.7445628643035889,0.8268281817436218,0.7621481418609619,0.79388827085495,0.7886425256729126,0.7521544694900513
3.0,0.9243945479393005,0.9498582482337952,0.9233521819114685,0.8708422183990479,0.9125068187713623,0.8736444711685181,0.8453665971755981,0.813025951385498,0.8175581693649292,0.8236712217330933,0.8160943388938904,0.7482692003250122,0.7509350180625916,0.8574284315109253,0.8194145560264587,0.8595637083053589,0.8482454419136047,0.7507854700088501,0.827976644039154,0.7635381817817688,0.7966074347496033,0.7927473783493042,0.7446456551551819
4.0,0.924676775932312,0.9486891031265259,0.922864556312561,0.8722066879272461,0.9123278856277466,0.8740320205688477,0.8463579416275024,0.8094184398651123,0.8166191577911377,0.8275126814842224,0.8174135684967041,0.7492952346801758,0.7515586614608765,0.8557562828063965,0.8226504921913147,0.8644893765449524,0.8516668081283569,0.7511225938796997,0.826935887336731,0.7629082798957825,0.7994078397750854,0.7957010865211487,0.7424907684326172
5.0,0.9243967533111572,0.9477571249008179,0.9225161075592041,0.86882084608078,0.9099173545837402,0.8736389875411987,0.8458113670349121,0.8058570623397827,0.8169283866882324,0.8244903087615967,0.8133142590522766,0.7478593587875366,0.7502260208129883,0.8597567081451416,0.8205690979957581,0.8659542202949524,0.8509894609451294,0.7543697357177734,0.8247132301330566,0.7584964036941528,0.8057639002799988,0.8068943619728088,0.7421178221702576
6.0,0.9266787767410278,0.9487782716751099,0.9232902526855469,0.8685166835784912,0.9109599590301514,0.8736134767532349,0.8434715867042542,0.8046448826789856,0.8147003650665283,0.8226395845413208,0.8162798881530762,0.7478424310684204,0.7472845911979675,0.8578439950942993,0.8260823488235474,0.8682316541671753,0.8556902408599854,0.7476791143417358,0.8202179670333862,0.7642470002174377,0.8095377683639526,0.8060722351074219,0.7471212148666382
7.0,0.9279739856719971,0.9503259658813477,0.925403892993927,0.8712804317474365,0.9129799604415894,0.8726294636726379,0.8462739586830139,0.8077471256256104,0.8141252994537354,0.8244386315345764,0.8198378086090088,0.7441072463989258,0.7433191537857056,0.8616849780082703,0.8256378173828125,0.8663748502731323,0.8536101579666138,0.7474323511123657,0.816222071647644,0.7637372016906738,0.8232467174530029,0.8191388845443726,0.755466639995575
8.0,0.9287328720092773,0.9486117362976074,0.9246218204498291,0.8727917671203613,0.913357138633728,0.874375581741333,0.8492528200149536,0.8092474341392517,0.8121925592422485,0.821769118309021,0.8153907060623169,0.7411588430404663,0.7434952259063721,0.8624906539916992,0.8273835182189941,0.8658922910690308,0.8516409993171692,0.753808319568634,0.8185286521911621,0.7645020484924316,0.8237197995185852,0.8200250267982483,0.7502530813217163
9.0,0.9260835647583008,0.9499027729034424,0.925663411617279,0.8743088245391846,0.9129120111465454,0.8775811195373535,0.8539312481880188,0.819161057472229,0.8212268352508545,0.8295614123344421,0.8240625262260437,0.7426031231880188,0.7397410869598389,0.8637415170669556,0.8246029615402222,0.8628973364830017,0.848885715007782,0.7538609504699707,0.8193763494491577,0.7642433643341064,0.8162664771080017,0.8159906268119812,0.7409497499465942
10.0,0.9275655150413513,0.9496981501579285,0.9243794083595276,0.8734890222549438,0.9128473401069641,0.8764354586601257,0.8557977676391602,0.8231430053710938,0.8263417482376099,0.82594233751297,0.8309534192085266,0.740234375,0.7377593517303467,0.8660905957221985,0.8253543376922607,0.8636375069618225,0.8513458371162415,0.7577275037765503,0.8159676790237427,0.76323401927948,0.8199954032897949,0.8212931752204895,0.7476732730865479
