frame,NOSE_x,NOSE_y,LEFT_EYE_x,LEFT_EYE_y,RIGHT_EYE_x,RIGHT_EYE_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_GROIN_x,LEFT_GROIN_y,RIGHT_GROIN_x,RIGHT_GROIN_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y,LEFT_BIG_TOE_x,LEFT_BIG_TOE_y,LEFT_LITTLE_TOE_x,LEFT_LITTLE_TOE_y,LEFT_HEEL_x,LEFT_HEEL_y,RIGHT_BIG_TOE_x,RIGHT_BIG_TOE_y,RIGHT_LITTLE_TOE_x,RIGHT_LITTLE_TOE_y,RIGHT_HEEL_x,RIGHT_HEEL_y
1.0,738.8671264648438,387.1627502441406,752.7421875,376.4896240234375,726.0593872070312,376.4896240234375,773.0211181640625,387.1627502441406,712.184326171875,386.0954284667969,810.3770751953125,466.14385986328125,683.3668823242188,470.4131164550781,830.656005859375,565.4039306640625,662.0206298828125,565.4039306640625,838.127197265625,640.1157836914062,655.6167602539062,641.18310546875,785.828857421875,665.7312622070312,708.9823608398438,666.798583984375,782.626953125,807.683837890625,715.38623046875,807.683837890625,781.5596313476562,933.626708984375,729.2612915039062,930.4247436523438,780.4923095703125,965.6460571289062,799.7039184570312,962.4441528320312,775.15576171875,948.569091796875,715.38623046875,964.5787353515625,701.5111694335938,958.1748657226562,745.27099609375,946.4344482421875
2.0,738.8245239257812,387.13238525390625,752.7056884765625,376.45458984375,726.0111694335938,376.45458984375,772.9934692382812,387.13238525390625,712.1300048828125,386.0646057128906,810.3657836914062,466.1481018066406,683.2999877929688,470.4192199707031,831.7213745117188,563.3160400390625,660.8765869140625,564.3838500976562,839.1958618164062,639.12841796875,653.402099609375,640.1962280273438,785.8068237304688,666.8907470703125,708.9266967773438,666.8907470703125,782.603515625,805.7020874023438,714.2655639648438,806.7698974609375,781.5357055664062,932.7679443359375,729.2144775390625,930.6323852539062,780.4679565429688,965.8690795898438,799.68798828125,961.5979614257812,776.1968383789062,947.7168579101562,715.3333740234375,963.7335205078125,702.52001953125,958.3946533203125,745.231201171875,945.581298828125
3.0,738.52392578125,387.5559387207031,752.3897094726562,376.8899230957031,726.791259765625,376.8899230957031,772.6551513671875,387.5559387207031,711.8588256835938,386.48931884765625,809.9862670898438,465.4178771972656,684.127197265625,469.6842956542969,833.4514770507812,562.4786987304688,660.6619262695312,564.6118774414062,840.917724609375,637.1408081054688,652.129150390625,640.3406372070312,786.52099609375,665.9390869140625,708.6590576171875,667.0056762695312,782.2545776367188,805.6640014648438,715.0586547851562,806.7305908203125,782.2545776367188,932.5896606445312,728.9244995117188,929.3898315429688,779.0548095703125,965.654296875,799.3202514648438,962.4544677734375,777.9882202148438,948.5886840820312,717.19189453125,964.5877075195312,702.2594604492188,958.1881103515625,744.9235229492188,945.3888549804688
4.0,739.3729248046875,387.5555419921875,753.2314453125,376.8951110839844,726.5804443359375,376.8951110839844,773.4862060546875,386.4894714355469,711.6558227539062,386.4894714355469,809.7316284179688,465.37652587890625,683.9387817382812,469.64068603515625,834.2505493164062,562.3862915039062,660.4859008789062,564.5183715820312,843.844970703125,635.943115234375,651.95751953125,640.207275390625,787.3447875976562,666.8582763671875,709.5237426757812,667.92431640625,783.0806274414062,806.5096435546875,714.85400390625,808.6417236328125,782.0145874023438,932.302490234375,728.7125244140625,930.17041015625,779.8825073242188,964.2837524414062,800.1372680664062,961.0856323242188,776.6843872070312,947.2271118164062,716.986083984375,964.2837524414062,702.0614624023438,957.8875122070312,744.703125,945.0950317382812
5.0,738.9757080078125,388.62493896484375,752.83935546875,377.9605712890625,726.178466796875,376.8941345214844,773.1016235351562,387.5585021972656,711.2483520507812,386.4920654296875,810.4268798828125,465.4083251953125,683.52099609375,469.6740417480469,834.9548950195312,561.3875122070312,660.0594482421875,564.5868530273438,845.6192626953125,634.9716186523438,651.5279541015625,640.3037719726562,786.9652709960938,668.0311279296875,709.115478515625,669.0975341796875,782.6995239257812,807.7341918945312,714.4476318359375,809.8670654296875,781.6331176757812,933.5736083984375,729.3777465820312,930.3743286132812,779.500244140625,964.500244140625,799.7625122070312,961.3009643554688,779.500244140625,948.5037231445312,717.64697265625,964.500244140625,702.7168579101562,958.1016845703125,745.374267578125,945.304443359375
6.0,738.942626953125,389.3124694824219,752.7926025390625,378.65863037109375,726.157958984375,377.5932312011719,773.0349731445312,388.2471008300781,711.2425537109375,387.18170166015625,811.3888549804688,466.020263671875,683.5425415039062,470.28179931640625,836.9580688476562,562.9703979492188,660.1040649414062,565.1011352539062,847.6119384765625,635.4166259765625,651.5809936523438,639.6781616210938,787.9503784179688,668.4435424804688,709.11181640625,669.5089721679688,782.6234130859375,805.8783569335938,714.438720703125,806.9437255859375,781.5580444335938,932.6592407226562,728.2887573242188,929.4630737304688,779.42724609375,965.6862182617188,799.6696166992188,961.4246826171875,777.2965087890625,947.5746459960938,718.7002563476562,963.555419921875,702.719482421875,958.228515625,744.26953125,944.3784790039062
7.0,738.895263671875,389.8006896972656,752.7291870117188,379.1592102050781,726.12548828125,379.1592102050781,772.947998046875,388.7365417480469,712.2915649414062,387.6723937988281,811.25732421875,466.4193115234375,683.5595703125,470.6759033203125,838.9251098632812,561.1284790039062,660.1483764648438,565.3850708007812,848.50244140625,635.6187744140625,650.571044921875,639.8753662109375,787.8460693359375,667.543212890625,709.09912109375,668.6073608398438,782.5253295898438,805.8823852539062,714.4198608398438,805.8823852539062,781.461181640625,932.5159301757812,728.2537841796875,930.3876342773438,779.3328857421875,964.4403686523438,799.5516967773438,962.3120727539062,778.2687377929688,947.4140014648438,719.7406005859375,963.376220703125,702.7142333984375,958.0554809570312,744.2160034179688,945.2857055664062
8.0,738.8762817382812,391.1942138671875,752.7041625976562,380.5574035644531,726.1121215820312,380.5574035644531,772.9140625,388.003173828125,712.2843017578125,389.0668640136719,811.20654296875,466.7154541015625,684.628662109375,470.9701843261719,839.9258422851562,562.4465942382812,660.1640014648438,564.573974609375,849.4989624023438,635.8405151367188,650.5908813476562,640.09521484375,787.8055419921875,667.7509155273438,709.09326171875,669.8782348632812,782.4871826171875,804.965576171875,714.4116821289062,806.0292358398438,781.4234619140625,933.6707763671875,728.239501953125,929.4160766601562,779.296142578125,965.5811767578125,799.5060424804688,962.39013671875,779.296142578125,948.5623168945312,718.6663818359375,963.4537963867188,702.711181640625,958.1353759765625,744.1947021484375,944.3075561523438
9.0,739.28466796875,391.76287841796875,752.0372924804688,381.13568115234375,726.5320434570312,380.0729675292969,772.22900390625,388.5747375488281,711.6539306640625,388.5747375488281,811.5496215820312,467.21600341796875,684.0232543945312,470.4041442871094,840.2430419921875,561.7980346679688,660.6434326171875,564.9862060546875,850.8702392578125,636.1884765625,650.0162353515625,640.4393310546875,787.1070556640625,669.1327514648438,709.5285034179688,670.1954956054688,781.79345703125,806.2236328125,714.8421020507812,806.2236328125,781.79345703125,932.687255859375,728.657470703125,929.4991455078125,779.6680297851562,965.631591796875,799.8596801757812,962.4434204101562,779.6680297851562,947.5653686523438,718.0302734375,964.56884765625,703.1522216796875,958.1925659179688,744.5982666015625,944.377197265625
10.0,738.8580932617188,392.7657775878906,752.6487426757812,381.09674072265625,726.1282348632812,381.09674072265625,772.8043212890625,389.58331298828125,712.3375244140625,389.58331298828125,810.993896484375,468.0840759277344,684.7561645507812,471.26654052734375,840.6968994140625,562.4971923828125,662.4789428710938,565.6796264648438,851.3051147460938,635.69384765625,650.8098754882812,640.9979858398438,787.6558227539062,668.5792846679688,709.1550903320312,670.700927734375,782.3517456054688,806.486083984375,714.4591674804688,807.546875,781.2908935546875,932.7238159179688,728.2498779296875,930.6021728515625,780.2301025390625,964.5484619140625,799.3248901367188,961.365966796875,778.1084594726562,946.5144653320312,717.6416625976562,964.5484619140625,702.7901611328125,959.2443237304688,744.1621704101562,944.392822265625
